Sigla;Código;Município;pib
AM;1302108;Japurá;40056,26668
AM;1302207;Juruá;64453,94966
AM;1302306;Jutaí;124346,7253
AM;1302405;Lábrea;291847,4504
AM;1302504;Manacapuru;721065,5495
AM;1302553;Manaquiri;145333,4474
AM;1302603;Manaus;48212527,17
AM;1302702;Manicoré;320360,0397
AM;1302801;Maraã;82259,38009
AM;1302900;Maués;278136,3867
AM;1303007;Nhamundá;96631,44291
AM;1303106;Nova Olinda do Norte;159485,644
AM;1303205;Novo Airão;87074,96409
AM;1303304;Novo Aripuanã;117832,4296
AM;1303403;Parintins;666126,5328
AM;1303502;Pauini;93147,1933
AM;1303536;Presidente Figueiredo;481700,7758
AM;1303569;Rio Preto da Eva;190058,7206
AM;1303601;Santa Isabel do Rio Negro;86740,73007
AM;1303700;Santo Antônio do Içá;110779,905
AM;1303809;São Gabriel da Cachoeira;197484,6909
AM;1303908;São Paulo de Olivença;155974,7864
AM;1303957;São Sebastião do Uatumã;63770,07698
AM;1304005;Silves;81710,88152
AM;1304062;Tabatinga;353856,7303
AM;1304104;Tapauá;112007,6082
AM;1304203;Tefé;512737,3921
AM;1304237;Tonantins;86550,7395
AM;1304260;Uarini;106996,432
AM;1304302;Urucará;96001,71988
AM;1304401;Urucurituba;108607,8507
AP;1600055;Serra do Navio;43018,62574
AP;1600105;Amapá;74475,83535
AP;1600154;Pedra Branca do Amaparí;211614,9476
AP;1600204;Calçoene;86124,07764
AP;1600212;Cutias;44171,63974
AP;1600238;Ferreira Gomes;269992,4668
AP;1600253;Itaubal;41028,15946
AP;1600279;Laranjal do Jari;529633,4819
AP;1600303;Macapá;6039580,717
AP;1600402;Mazagão;176328,9846
AP;1600501;Oiapoque;246903,2446
AP;1600535;Porto Grande;174570,0547
AP;1600550;Pracuúba;39486,76179
AP;1600600;Santana;1172954,611
AP;1600709;Tartarugalzinho;122274,5677
AP;1600808;Vitória do Jari;110598,317
BA;2900108;Abaíra;32767,53767
BA;2900207;Abaré;97356,39463
BA;2900306;Acajutiba;67467,19071
BA;2900355;Adustina;112355,8464
BA;2900405;Água Fria;73974,01751
BA;2900504;Érico Cardoso;36440,37742
BA;2900603;Aiquara;25075,95396
BA;2900702;Alagoinhas;2115917,473
BA;2900801;Alcobaça;162205,2633
BA;2900900;Almadina;29350,97512
BA;2901007;Amargosa;216543,0321
BA;2901106;Amélia Rodrigues;204267,4009
BA;2901155;América Dourada;78398,417
BA;2901205;Anagé;104974,2228
BA;2901304;Andaraí;62812,65523
BA;2901353;Andorinha;104309,0224
BA;2901403;Angical;88902,51462
BA;2901502;Anguera;36764,80849
BA;2901601;Antas;75061,6785
BA;2901700;Antônio Cardoso;57985,86786
BA;2901809;Antônio Gonçalves;38605,89644
BA;2901908;Aporá;69388,1027
BA;2901957;Apuarema;34683,78159
BA;2902005;Aracatu;68032,02753
BA;2902054;Araças;139652,4027
BA;2902104;Araci;229388,6351
BA;2902203;Aramari;48441,05921
BA;2902252;Arataca;47381,40667
BA;2902302;Aratuípe;37333,37976
BA;2902401;Aurelino Leal;63953,06543
BA;2902500;Baianópolis;123154,4995
BA;2902609;Baixa Grande;90867,3065
BA;2902658;Banzaê;53027,90764
BA;2902708;Barra;201030,0923
BA;2902807;Barra da Estiva;176300,5094
BA;2902906;Barra do Choça;267726,1174
BA;2903003;Barra do Mendes;54107,6329
BA;2903102;Barra do Rocha;36364,75464
BA;2903201;Barreiras;3270508,352
BA;2903235;Barro Alto;52695,07404
BA;2903276;Barrocas;161583,4759
BA;2903300;Governador Lomanto Júnior;37304,43771
BA;2903409;Belmonte;174452,4193
BA;2903508;Belo Campo;79170,98306
BA;2903607;Biritinga;67891,51853
BA;2903706;Boa Nova;52098,96113
BA;2903805;Boa Vista do Tupim;72503,10774
BA;2903904;Bom Jesus da Lapa;633867,8151
BA;2903953;Bom Jesus da Serra;32657,37115
BA;2904001;Boninal;55079,52567
BA;2904050;Bonito;126383,8723
BA;2904100;Boquira;88269,05713
BA;2904209;Botuporã;51366,54049
BA;2904308;Brejões;67374,76286
BA;2904407;Brejolândia;58939,55515
BA;2904506;Brotas de Macaúbas;45069,77697
BA;2904605;Brumado;832481,2461
BA;2904704;Buerarema;97531,44736
BA;2904753;Buritirama;72349,99495
BA;2904803;Caatiba;36131,35099
BA;2904852;Cabaceiras do Paraguaçu;65912,72243
BA;2904902;Cachoeira;223730,9308
BA;2905008;Caculé;170051,3602
BA;2905107;Caém;43083,51195
BA;2905156;Caetanos;47880,89047
BA;2905206;Caetité;512857,8283
BA;2905305;Cafarnaum;101482,5043
BA;2905404;Cairu;702797,9799
BA;2905503;Caldeirão Grande;47605,94097
BA;2905602;Camacan;165446,7731
BA;2905701;Camaçari;15858239,52
BA;2905800;Camamu;218653,9347
BA;2905909;Campo Alegre de Lourdes;137937,3527
BA;2906006;Campo Formoso;967522,0596
BA;2906105;Canápolis;39659,94729
BA;2906204;Canarana;120819,9962
BA;2906303;Canavieiras;184669,8972
BA;2906402;Candeal;31646,26656
BA;2906501;Candeias;3183283,543
BA;2906600;Candiba;65739,53693
BA;2906709;Cândido Sales;114230,5445
BA;2906808;Cansanção;164690,0785
BA;2906824;Canudos;71492,00316
BA;2906857;Capela do Alto Alegre;60467,41541
BA;2906873;Capim Grosso;270658,6008
BA;2906899;Caraíbas;40239,72195
BA;2906907;Caravelas;167061,9263
BA;2907004;Cardeal da Silva;54955,82174
BA;2907103;Carinhanha;134702,845
BA;2907202;Casa Nova;408586,1505
BA;2907301;Castro Alves;148090,4112
BA;2907400;Catolândia;37765,17651
BA;2907509;Catu;324613,5877
BA;2907558;Caturama;36533,27207
BA;2907608;Central;72133,39637
BA;2907707;Chorrochó;49245,36817
BA;2907806;Cícero Dantas;186756,9926
BA;2907905;Cipó;72539,05191
BA;2908002;Coaraci;89195,6696
BA;2908101;Cocos;261351,8638
BA;2908200;Conceição da Feira;175545,2152
BA;2908309;Conceição do Almeida;93483,76136
BA;2908408;Conceição do Coité;412953,1327
BA;2908507;Conceição do Jacuípe;1288914,677
BA;2908606;Conde;134874,1633
BA;2908705;Condeúba;79854,85574
BA;2908804;Contendas do Sincorá;23703,54053
BA;2908903;Coração de Maria;105669,2988
BA;2909000;Cordeiros;33035,95186
BA;2909109;Coribe;78935,24538
BA;2909208;Coronel João Sá;81810,77828
BA;2909307;Correntina;1531164,787
BA;2909406;Cotegipe;79988,82943
BA;2909505;Cravolândia;21430,65584
BA;2909604;Crisópolis;96220,18569
BA;2909703;Cristópolis;73682,26296
BA;2909802;Cruz das Almas;486602,7192
BA;2909901;Curaçá;165819,7521
BA;2910008;Dário Meira;58883,53827
BA;2910057;Dias d'Ávila;1423963,893
BA;2910107;Dom Basílio;66428,07768
BA;2910206;Dom Macedo Costa;20171,67658
BA;2910305;Elísio Medrado;35819,52373
BA;2910404;Encruzilhada;119589,0254
BA;2910503;Entre Rios;318199,1887
BA;2910602;Esplanada;341660,4563
BA;2910701;Euclides da Cunha;371305,52
BA;2910727;Eunápolis;1495191,216
BA;2910750;Fátima;130758,3234
BA;2910776;Feira da Mata;29448,53784
BA;2910800;Feira de Santana;8067456,001
BA;2910859;Filadélfia;65059,39871
BA;2910909;Firmino Alves;33081,23217
BA;2911006;Floresta Azul;47402,41299
BA;2911105;Formosa do Rio Preto;2151223,975
BA;2911204;Gandu;215306,9264
BA;2911253;Gavião;23302,55307
BA;2911303;Gentio do Ouro;62299,63402
BA;2911402;Glória;118628,336
BA;2911501;Gongogi;35695,35299
BA;2911600;Governador Mangabeira;103629,8178
BA;2911659;Guajeru;32063,12547
BA;2911709;Guanambi;772430,6896
BA;2911808;Guaratinga;130463,768
BA;2911857;Heliópolis;65663,44734
BA;2911907;Iaçu;110703,3486
BA;2912004;Ibiassucê;46193,38211
BA;2912103;Ibicaraí;96536,21422
BA;2912202;Ibicoara;206960,8789
BA;2912301;Ibicuí;91657,14444
BA;2912400;Ibipeba;82995,06838
BA;2912509;Ibipitanga;54840,52034
BA;2912608;Ibiquera;17427,78334
BA;2912707;Ibirapitanga;133434,9964
BA;2912806;Ibirapuã;210393,3129
BA;2912905;Ibirataia;96807,89607
BA;2913002;Ibitiara;53078,32282
